,RequirementText,Class,cleaned_text,label
237,The product must comply with Sarbanes-Oxley.,Other,the product must comply with sarbanesoxley,3
408,The server will support a maximum of 1 000 simultaneous users.,Other,the server will support a maximum of 1 000 simultaneous users,3
450,Website shall allow customers to browse movies by categories entered in by izogn administrator.,F,website shall allow customers to browse movies by categories entered in by izogn administrator,0
181,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F,the disputes system must provide different levels of access with regard to disputes case initiation and followup actions,0
406,The streaming server will support 50 simultaneous streaming connections.,Other,the streaming server will support 50 simultaneous streaming connections,3
189,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,the disputes system must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information the dispute case number  the type of retrieval requested copy  original or portfolio  and the date that the merchant response is due,0
43,Out of 1000 accesses to the system  the system is available 999 times.,Other,out of 1000 accesses to the system  the system is available 999 times,3
235,The product shall free of computer viruses.,SE,the product shall free of computer viruses,5
434,The system shall notify customers of changes to its information policy.,SE,the system shall notify customers of changes to its information policy,5
74,The system shall use symbols and words that are naturally understandable by the user community.,US,the system shall use symbols and words that are naturally understandable by the user community,6
174,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,Other,the disputes application must conform to the legal requirements as specified by regulation e and regulation z that govern credit card disputes processing,3
397,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,PE,when purchasing a streaming movie or prepaid card via credit card  the processing time should have a maximum response time of 15 seconds,4
13,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,the data displayed in both the nodes within the graph and the rows in the table are msel summary data,0
577,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,SE,the product shall have audit capabilitiesthe product shall store messages for a minimum of one year for audit and transaction tracking purposes,5
94,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,SE,dr susan poslusny and dr julie donalek are the only people who shall have access to students personal information,5
173,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,Other,all business rules specified in the disputes system shall be in compliance with the merchant operating regulations,3
95,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE,only authorized users shall have access to the portion of the system that interfaces with campusconnect,5
610,A secondary database will be used to store historical statistics and data.,O,a secondary database will be used to store historical statistics and data,2
149,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF,all screens created as part of the disputes application must comply with corporate standards for interface creation,1
130,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,F,a staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes,0
190,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,the disputes system shall allow the user to create or initiate a chargeback request  the system must prompt the user to enter the required information to initiate a chargeback request the chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,0
232,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,SE,only collision estimators shall search for recycled parts  users without the collision estimator role shall not have access to the search for recycled parts,5
518,The product shall allow the player to position ships diagonally on their grid,F,the product shall allow the player to position ships diagonally on their grid,0
37,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,PE,the search results shall be returned no later 30      seconds  after the user has entered the search criteria,4
580,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,LF,the system interface will use ccr nomenclature the system must use the same nomenclature used in the existing wcs system and reports,1
504,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE,the response time shall be fast enough to maintain the flow of the game the response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,4
17,The system shall color code events according to their variance from current time.,F,the system shall color code events according to their variance from current time,0
308,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,Other,maintenance releases will be offered to customers once a year  the releases shall take no longer than 5 minutes for 80 of the customer base to install,3
550,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,Other,the product shall be internet browser independentthe product must run using internet explorer and netscape navigator,3
257,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,F,the estimator shall not apply recycled parts to the collision estimate if no available parts are returned,0
247,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F,the adjuster shall be able to override the preferred repair facitlity on the estimate assignment,0
19,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,the system shall link events back to either the sync matrix 10 or the exercise managment tool 10 applications for modifications,0
611,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,Other,application updates shall occur between 3am and 6 am cst on wednesday morning during the middle of the nfl season,3
497,The product shall be available 24 hours per day  seven days per week.,Other,the product shall be available 24 hours per day  seven days per week,3
256,The estimator shall apply selected recycled parts to the collision estimate.,F,the estimator shall apply selected recycled parts to the collision estimate,0
346,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,F,the product shall be able to send meeting notifications via different kinds of enduser specified methods,0
145,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,F,program administratorsnursing staff members shall have the ability to modify information relating to a clinical site  including the clinical site name  site contact person  contact information  and address,0
50,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,Other,the product shall be capable of handling the existing 1000 users this number is expected to grow 5 times within the next year,3
182,The Disputes System shall provide view access capability for authorized users of the application.,F,the disputes system shall provide view access capability for authorized users of the application,0
36,The product shall produce search results in an acceptable time,PE,the product shall produce search results in an acceptable time,4
388,Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,US,users should only have to navigate through a maximum of 4 pages  to create an account with the website,6
451,Website shall allow customers to view reviews of selected movies by other customers.,F,website shall allow customers to view reviews of selected movies by other customers,0
259,The adjuster shall request a recycled parts audit of the collision estimate.,F,the adjuster shall request a recycled parts audit of the collision estimate,0
28,The look and feel of the system shall conform to the user interface standards of the smart device.,LF,the look and feel of the system shall conform to the user interface standards of the smart device,1
534,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,F,if the shot was marked as a miss  the product shall change the status of the offensive player to defensive,0
597,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page,SE,each team owner will need to use a username and password in order to be authenticated to reach the team owners page,5
442,The website should use Flash to provide animation on the home page.,O,the website should use flash to provide animation on the home page,2
93,Only authorized users shall have access to students' personal information.,SE,only authorized users shall have access to students personal information,5
624,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,the product interface should be fast the response time of the product interface should not exceed 2 seconds 90 of the time for 10 of the time  the response time should not be more than 10 secondsnot be more than 10 seconds,4
42,The product shall be available for use 24 hours per day  365 days  per year,Other,the product shall be available for use 24 hours per day  365 days  per year,3
365,Formula substitutionary ingredients shall be kept in persisted order,F,formula substitutionary ingredients shall be kept in persisted order,0
15,The top 1/4 of the table will hold events that are to occur sequentially.,F,the top 14 of the table will hold events that are to occur sequentially,0
458,Pre-paid cards shall be distributed via email  or via a printed paper card.,F,prepaid cards shall be distributed via email  or via a printed paper card,0
255,The available recycled parts information and their suppliers shall be returned to the user.,F,the available recycled parts information and their suppliers shall be returned to the user,0
391,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,US,an anonymous survey will show that 95 of customers are comfortable using and purchasing prepaid cards after a month of using the system,6
21,The system shall offer a display of all the Events in the exercise.,F,the system shall offer a display of all the events in the exercise,0
416,Movies shall be encoded and streamed via Windows Media Player 9.0.,O,movies shall be encoded and streamed via windows media player 90,2
160,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O,the disputes application shall interface with the letters application  this will allow the disputes application to request letters as part of the dispute initiation and dispute follow up process all letter requests must be sent to the print letter utility application,2
593,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,Other,the wcs system must run queries to the wcs databases once again on a specified day to update the available data available to ccr users queries must be made to external databases for data refresh once a week,3
530,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,F,when the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player,0
161,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O,the disputes application shall interface with the cardmember posting and billing system  this will allow the disputes application to request adjustments to cardmember and merchants accounts all adjustment requests must be sent to the cardmember posting and billing system,2
356,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,Other,the system shall meet all applicable accounting standards  the final version of the system must successfully pass independent audit performed by a certified auditor,3
154,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE,the maximum wait time for a user navigating from one screen to another within the disputes application shall be no more than 5 seconds,4
219,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,the preferred repair facility ratings shall be saved within 5 seconds the save shall occur within 5 seconds,4
77,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE,the response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds,4
137,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,F,the system will use the stored email addresses as a primary means of communicating information to affected parties,0
135,The system shall be able to display a printable summary of the system log.,F,the system shall be able to display a printable summary of the system log,0
619,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,SE,only authorized user shall access the rfs system only users that exist in the uas system  with the rfs system assigned to their roles  shall access the rfs system and use it,5
75,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US,the verbiage used within the system shall be consistent with standard english and the terminology of the national nursing community,6
41,The product shall synchronize with the office system every hour.,PE,the product shall synchronize with the office system every hour,4
225,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,for estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions,2
535,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,F,if the shot was marked as a miss  the product shall change the status of the defensive player to offensive,0
380,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,PE,system shall let administrator addremove movies on the website in under 5 minutes  entered movie information will be stored in the database and will now be available on the website,4
290,The product shall allow for intuitive searching of available conference rooms.,US,the product shall allow for intuitive searching of available conference rooms,6
262,The audit report shall include the total number of recycled parts used in the estimate.,F,the audit report shall include the total number of recycled parts used in the estimate,0
47,100% of saved user preferences shall be restored when system comes back online.,Other,100 of saved user preferences shall be restored when system comes back online,3
492,The product shall display each type of ship in a grid using an image of the specific type of ship.,LF,the product shall display each type of ship in a grid using an image of the specific type of ship,1
586,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),US,all ccr users shall receive training before the wcs system is deployed one training session will be held for 100 of ccr users before system deployment based on a ccr user being available,6
88,The system shall interface with the faculty central server.,O,the system shall interface with the faculty central server,2
63,The system shall be able to call the seller or buyer to schedule an appointment,F,the system shall be able to call the seller or buyer to schedule an appointment,0
2,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US,if projected  the data must be readable  on a 10x10 projection screen  90 of viewers must be able to read event  activity data from a viewing distance of 30,6
348,The product shall have an intuitive user interface.,F,the product shall have an intuitive user interface,0
100,The system shall use the organization's standard virus protection software to help monitor threats to itself.,SE,the system shall use the organizations standard virus protection software to help monitor threats to itself,5
115,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,F,program administratorsnursing staff members shall be able to create a new program of study,0
566,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,Other,the product shall be available 99 of the time rationale to avoid service interruption during busiest customer service response periods the product shall be available 9999 of the time for regular business days,3
386,The website design should be modern  clean  and concise.,LF,the website design should be modern  clean  and concise,1
600,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,LF,each page shall contain a similar format with action items in one location and navigation buttons in a different location,1
404,The website shall continue to operate if the streaming server goes down.,Other,the website shall continue to operate if the streaming server goes down,3
196,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,F,a list of all disputes cases that meet the entered search criteria must be provided to the user  the list of cases must differentiate the type andor status of the case by color coding the line item in the list  for example all open cases will be yellow and all closed cases will be gray,0
157,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,the disputes application shall interface with the statement database the statement database provides the transaction details to the disputes system all transaction details must be obtained from the statement database,2
543,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,US,the system shall be easy to use by callers and supervisors callers and supervisors must be able to accomplish any system task within 2 minutes,6
473,Washing parameters will be updated during scheduled maintenance hours.,Other,washing parameters will be updated during scheduled maintenance hours,3
3,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Other,the product shall be available during normal business hours as long as the user has access to the client pc  the system will be available 99 of the time during the first six months of operation,3
280,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O,a database management system such as oracle  db2  mysql or hsql will need to be integrated with the product,2
164,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE,the disputes application shall ensure that only authorized users are allowed to logon to the application,5
428,Only administrators can activate a pre-paid card.,SE,only administrators can activate a prepaid card,5
598,The Commissioner will be the only authorized user per league to adjust league settings.,SE,the commissioner will be the only authorized user per league to adjust league settings,5
522,The product shall maintain the status of each player for a turn  either offensive or defensive.,F,the product shall maintain the status of each player for a turn  either offensive or defensive,0
399,While streaming a movie  buffering should only occur if there is latency in the user's connection.,PE,while streaming a movie  buffering should only occur if there is latency in the users connection,4
345,The product will allow priviledged users to view meeting schedules in multiple reporting views.,F,the product will allow priviledged users to view meeting schedules in multiple reporting views,0
250,The estimator shall search for available recycled parts using damaged vehicle parts information.,F,the estimator shall search for available recycled parts using damaged vehicle parts information,0
419,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE,izogn administrator must be able to update the category listings on the website within 2 minutes,4
547,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,PE,on a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90 of the time,4
216,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,PE,the search for recycled parts shall take no longer than 15 seconds  the search results shall be returned in under 15 seconds,4
459,Only registered customers can purchase streaming movies.,F,only registered customers can purchase streaming movies,0
578,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,LF,the system shall use ibm and ccr branding standards the interface must have one ibm logo and one ccr logo,1
505,The product shall maintain a list of players.,F,the product shall maintain a list of players,0
274,The user shall select to save the preferred repair facility ratings.,F,the user shall select to save the preferred repair facility ratings,0
178,The Disputes System must be accessible by both internal and external users.,F,the disputes system must be accessible by both internal and external users,0
167,All additions of new users and modifications to user's access shall be recorded on the User Report.,SE,all additions of new users and modifications to users access shall be recorded on the user report,5
382,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE,system shall let izogn manager access sales and usage statistics in under 2 minutes,4
327,The product will record meeting acknowledgements.,F,the product will record meeting acknowledgements,0
591,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,O,the wcs system shall be run in a windows environment the wcs shall be accessed by users through the internet on an ibm computer running a windows 2000 or above operating system,2
616,The RFS system should be able to easily interface with the BDW environment  in order to load the data. '	7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.,O,the rfs system should be able to easily interface with the bdw environment  in order to load the data 	7 data files shall be received from the bdw and loaded into the rfs system within 3 hours one day prior to the start of budgeting process  every year the data will be as of october monthend 	test files 7 shall be loaded up to 5 times throughout the year  from the bdw,2
169,Only the System Administrator shall be able to reset a revoked user logon account,SE,only the system administrator shall be able to reset a revoked user logon account,5
90,We must be able to interface with any HTML browser.,O,we must be able to interface with any html browser,2
131,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,F,the system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the program of study  sequence of classes  cohort progress through the program  and timeline of completion,0
488,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,F,prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep,0
544,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,US,the system shall be easy to learn by callers and supervisors callers and supervisors shall learn how to use the system within 10 minutes,6
25,The system shall offer the ability to pause and resume the refresh of data.,F,the system shall offer the ability to pause and resume the refresh of data,0
329,The product shall update existing conference rooms.,F,the product shall update existing conference rooms,0
203,The product must support Internet Explorer 5.5 and above.,O,the product must support internet explorer 55 and above,2
431,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,SE,the website shall protect itself from intentional abuse  and notify the administrator at all occurrences,5
301,The product must be able to interface with various email servers. The product shall be able to send email.,O,the product must be able to interface with various email servers the product shall be able to send email,2
66,The system shall notify the realtor when a seller or buyer responds to an appointment request,F,the system shall notify the realtor when a seller or buyer responds to an appointment request,0
31,The product shall have a consistent color scheme and fonts.,LF,the product shall have a consistent color scheme and fonts,1
97,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SE,the system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,5
576,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SE,the product shall information security the product shall enable privacy by encryption wssecurity and integrity checking,5
469,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE,the process must fit within the processing time conditions set forth by the auto rep assignment process in which a lead is assigned within 3 minutes of the total life cycle,4
223,The average number of recycled parts records per day shall be 50 000.,Other,the average number of recycled parts records per day shall be 50 000,3
449,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,F,shall be able to stream purchased movie via windows media player  for up to 2 days aftere purchase date,0
525,For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,F,for each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss,0
148,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF,the disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications,1
204,The product must support Mozilla Firefox 1.0 and above.,O,the product must support mozilla firefox 10 and above,2
197,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F,the disputes system shall provide the users the ability to view the history of all activities that have occurred on the dispute case,0
516,The product shall allow a player to position ships horizontally on their grid.,F,the product shall allow a player to position ships horizontally on their grid,0
377,System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE,system shall let existing customers log into the website with their email address and password in under 5 seconds,4
519,The product shall prevent the player from overlapping ships on their grid.,F,the product shall prevent the player from overlapping ships on their grid,0
86,The system shall operate within the Windows XP Professional operating system.,O,the system shall operate within the windows xp professional operating system,2
116,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,F,a program of study shall consist of a program name and listing of required classes both clinical and nonclinical that must be completed,0
479,If the leads score falls within the high average score then it will be process by the ARA functionality.,F,if the leads score falls within the high average score then it will be process by the ara functionality,0
523,At the start of each turn  the product shall notify each player of his or her status.,F,at the start of each turn  the product shall notify each player of his or her status,0
241,The vehicle data shall include vehicle year  make  and model,F,the vehicle data shall include vehicle year  make  and model,0
573,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,Other,the product shall be updated on a regular basisthe product will have a new major feature introduced every six months and quarterly maintenance releases every six months,3
370,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,F,the rms system shall have windows xp look and feel and use gui futures making its use intuitive,0
307,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product's software code.,Other,the product must be highly configurable for use with various database management systems for the end users  80 of end users are able to integrate new database management systems with the product without changing the products software code,3
461,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,F,website must be able to support free trial periods with various parameters set by the izogn manager,0
421,The system will provide a 24 hour 800 toll free number for support to its customers.,Other,the system will provide a 24 hour 800 toll free number for support to its customers,3
111,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,F,program administrators and nursing staff members shall be able to add new classes for the nursing department into the system,0
509,The product shall make inactive players unavailable for selection from the list of players.,F,the product shall make inactive players unavailable for selection from the list of players,0
279,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O,the product must make use of webapplication server technology  open source examples include apache web server  tomcat  and the jboss application server,2
48,The product shall be able to support multiple remote users,Other,the product shall be able to support multiple remote users,3
