,RequirementText,Class,cleaned_text,label
19,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,the system shall link events back to either the sync matrix 10 or the exercise managment tool 10 applications for modifications,0
20,The system shall allow modification of the display.,F,the system shall allow modification of the display,0
21,The system shall offer a display of all the Events in the exercise.,F,the system shall offer a display of all the events in the exercise,0
22,The system shall filter data by: Venues and Key Events.,F,the system shall filter data by venues and key events,0
23,The system shall allow a user to define the time segments,F,the system shall allow a user to define the time segments,0
24,The system shall display the local and exercise time in separate clocks,F,the system shall display the local and exercise time in separate clocks,0
25,The system shall offer the ability to pause and resume the refresh of data.,F,the system shall offer the ability to pause and resume the refresh of data,0
26,The system shall provide charts for the Activity or Event actual versus assumed time.,F,the system shall provide charts for the activity or event actual versus assumed time,0
27,The system shall provide a history report of changes made to the Activity or Event data,F,the system shall provide a history report of changes made to the activity or event data,0
28,The look and feel of the system shall conform to the user interface standards of the smart device.,LF,the look and feel of the system shall conform to the user interface standards of the smart device,1
29,The user interface shall have standard menus  buttons for navigation,LF,the user interface shall have standard menus  buttons for navigation,1
30,The system shall have a professional appearance,LF,the system shall have a professional appearance,1
31,The product shall have a consistent color scheme and fonts.,LF,the product shall have a consistent color scheme and fonts,1
32,The system shall be used by realtors with no training.,US,the system shall be used by realtors with no training,6
33,The system shall be intuitive and self explanatory.,US,the system shall be intuitive and self explanatory,6
34,The product shall be easy for a realtor to learn.,US,the product shall be easy for a realtor to learn,6
35,The product shall use symbols and words that are naturally understandable by the realtor community.,US,the product shall use symbols and words that are naturally understandable by the realtor community,6
36,The product shall produce search results in an acceptable time,PE,the product shall produce search results in an acceptable time,4
37,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,PE,the search results shall be returned no later 30      seconds  after the user has entered the search criteria,4
38,The product shall generate a CMA report in an acceptable time.,PE,the product shall generate a cma report in an acceptable time,4
39,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE,the cma report shall be returned no later 60 seconds after the user has entered the cma report criteria,4
40,The product shall synchronize contacts and appointments in an acceptable time.,PE,the product shall synchronize contacts and appointments in an acceptable time,4
41,The product shall synchronize with the office system every hour.,PE,the product shall synchronize with the office system every hour,4
42,The product shall be available for use 24 hours per day  365 days  per year,Other,the product shall be available for use 24 hours per day  365 days  per year,3
43,Out of 1000 accesses to the system  the system is available 999 times.,Other,out of 1000 accesses to the system  the system is available 999 times,3
44,The product shall operate in offline mode whenever internet connection is unavailable.,Other,the product shall operate in offline mode whenever internet connection is unavailable,3
45,The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,Other,the product shall allow the user to view previously downloaded search results  cma reports  and appointments,3
46,The product shall retain user preferences in the event of a failure.,Other,the product shall retain user preferences in the event of a failure,3
47,100% of saved user preferences shall be restored when system comes back online.,Other,100 of saved user preferences shall be restored when system comes back online,3
48,The product shall be able to support multiple remote users,Other,the product shall be able to support multiple remote users,3
49,The product shall be able support 1000 simultaneous users.,Other,the product shall be able support 1000 simultaneous users,3
50,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,Other,the product shall be capable of handling the existing 1000 users this number is expected to grow 5 times within the next year,3
51,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,US,the product shall be installed by an untrained realtor   without recourse to separatelyprinted instructions,6
52,90% of untrained realtors shall be able to install the product on their device without printed instructions,US,90 of untrained realtors shall be able to install the product on their device without printed instructions,6
53,The product is expected to run on Windows CE and Palm operating systems.,Other,the product is expected to run on windows ce and palm operating systems,3
54,Only registered realtors shall be able to access the system.,SE,only registered realtors shall be able to access the system,5
55,Every user of the system shall be authenticated and authorized.,SE,every user of the system shall be authenticated and authorized,5
56,The product shall prevent its data from incorrect data being introduced.,SE,the product shall prevent its data from incorrect data being introduced,5
57,The system shall allow a real estate agent to query MLS information,F,the system shall allow a real estate agent to query mls information,0
58,The user shall be able to get driving directions to a selected property,F,the user shall be able to get driving directions to a selected property,0
59,The user shall be able to download appointments and contact information for clients,F,the user shall be able to download appointments and contact information for clients,0
60,The system shall display clear property images in the search results,F,the system shall display clear property images in the search results,0
61,The system shall update or create new property listings in the MLS,F,the system shall update or create new property listings in the mls,0
62,Realtor shall be able to generate a CMA report based on property criteria,F,realtor shall be able to generate a cma report based on property criteria,0
63,The system shall be able to call the seller or buyer to schedule an appointment,F,the system shall be able to call the seller or buyer to schedule an appointment,0
64,The realtor shall be notified of new client appointments after automatic synchronization with office system,F,the realtor shall be notified of new client appointments after automatic synchronization with office system,0
65,The realtor shall be able to retrieve a map showing property locations for a specified area,F,the realtor shall be able to retrieve a map showing property locations for a specified area,0
66,The system shall notify the realtor when a seller or buyer responds to an appointment request,F,the system shall notify the realtor when a seller or buyer responds to an appointment request,0
67,The product shall allow the user to save the property search results.,F,the product shall allow the user to save the property search results,0
68,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US,the system shall be easy to use by the program administratorsnursing staff members,6
69,All of the users shall be able to use the system after one day of training.,US,all of the users shall be able to use the system after one day of training,6
70,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US,the system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students,6
71,The number of mistakes noted by the students shall be decreased by 50% in the first year.,US,the number of mistakes noted by the students shall be decreased by 50 in the first year,6
72,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US,the system shall be intuitive to the program administratorsnursing staff members,6
73,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US,2 out of 3 program administratorsnursing staff members shall successfully be able to use the system to manage the scheduling of classes and clinicals,6
74,The system shall use symbols and words that are naturally understandable by the user community.,US,the system shall use symbols and words that are naturally understandable by the user community,6
75,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US,the verbiage used within the system shall be consistent with standard english and the terminology of the national nursing community,6
76,Staff members shall be able to complete a set of tasks in a timely manner.,PE,staff members shall be able to complete a set of tasks in a timely manner,4
77,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE,the response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds,4
78,The system shall be available for use between the hours of 8am and 6pm.,Other,the system shall be available for use between the hours of 8am and 6pm,3
79,The system shall achieve 95% up time.,Other,the system shall achieve 95 up time,3
80,system shall be able to handle all of the user requests/usage during business hours.,Other,system shall be able to handle all of the user requestsusage during business hours,3
81,The system shall cater to 10 simultaneous users from 9am to 5pm.,Other,the system shall cater to 10 simultaneous users from 9am to 5pm,3
82,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,Other,the system shall be capable of processing 100 of nursing students and their classes for the next 10 years,3
83,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,Other,the system shall be expected to manage the nursing program curriculum and classclinical scheduling for a minimum of 5 years,3
84,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O,the system shall able to operate within a business office environment typical of the nursing department at depaul university,2
85,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O,the system shall be used within the specifications defined by the computers used by the program administratorsnursing staff members,2
86,The system shall operate within the Windows XP Professional operating system.,O,the system shall operate within the windows xp professional operating system,2
87,The system shall interface with CampusConnect's central server,O,the system shall interface with campusconnects central server,2
88,The system shall interface with the faculty central server.,O,the system shall interface with the faculty central server,2
89,The system shall interface with the student master server.,O,the system shall interface with the student master server,2
90,We must be able to interface with any HTML browser.,O,we must be able to interface with any html browser,2
91,Only authorized users shall have access to clinical site information.,SE,only authorized users shall have access to clinical site information,5
92,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE,program administratorsnursing staff members are the only people who shall have access to clinical site details,5
93,Only authorized users shall have access to students' personal information.,SE,only authorized users shall have access to students personal information,5
94,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.,SE,dr susan poslusny and dr julie donalek are the only people who shall have access to students personal information,5
95,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE,only authorized users shall have access to the portion of the system that interfaces with campusconnect,5
96,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,SE,fit criterion dr susan poslusny and karen sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with campusconnect,5
97,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,SE,the system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,5
98,The system shall protect private information in accordance with the organization's information policy.,SE,the system shall protect private information in accordance with the organizations information policy,5
99,The system shall be built such that it is as secure as possible from malicious interference.,SE,the system shall be built such that it is as secure as possible from malicious interference,5
100,The system shall use the organization's standard virus protection software to help monitor threats to itself.,SE,the system shall use the organizations standard virus protection software to help monitor threats to itself,5
101,A cohort shall be associated to one Program of Study offered by the department.,F,a cohort shall be associated to one program of study offered by the department,0
102,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F,program administrators and nursing staff members shall be able to add a listing of students to a cohort,0
103,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F,program administrators and nursing staff members shall be able to add a single student to a cohort,0
104,Students added to a cohort shall be eligible for the cohort's Program of Study.,F,students added to a cohort shall be eligible for the cohorts program of study,0
105,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,F,program administrators and nursing staff members shall be able to specify the preferred sequence of classes for a given cohort,0
106,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,F,for each class within a sequence for a cohort  program administrators and nursing staff members shall be able to specify which quarter that class will be offered,0
107,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,F,for each class within a sequence for a cohort  program administrators and nursing staff members shall be able to specify which quarter that class will be offered,0
108,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,F,program administrators and nursing staff members shall be able to add new classes to a sequence of classes,0
109,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,F,program administrators and nursing staff members shall be able to add clinical classes or sections to a sequence of classes,0
110,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,F,program administrators and nursing staff members shall be able to add a new cohort to the system  identified by start month and year,0
111,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,F,program administrators and nursing staff members shall be able to add new classes for the nursing department into the system,0
112,A class shall be either a non-clinical class or a clinical class.,F,a class shall be either a nonclinical class or a clinical class,0
113,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,F,a nonclinical class shall specify the course name  lecture room requirements  and instructor needs,0
114,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,F,a clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs,0
115,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,F,program administratorsnursing staff members shall be able to create a new program of study,0
116,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,F,a program of study shall consist of a program name and listing of required classes both clinical and nonclinical that must be completed,0
117,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,F,program administrators and nursing staff members shall have the ability to specify which classes are required for a program of study,0
118,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.,F,the system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for program administratorsnursing staff members planning purposes,0
119,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,F,the report of needed classes shall include but not be limited to classes to be offered  number of sections needed  number of labs needed  and room types needed,0
120,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,F,classes for a given cohort shall not conflict with regards to the time and day that they are offered,0
121,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,F,program administrators and nursing staff members shall be able to add a new clinical site into the system,0
122,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,F,clinical site information shall include but not be limited to the name of the site  contact person  and contact information,0
123,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,F,program administrators and nursing staff members shall be able to add a new clinical lab section for an existing clinical class into the system,0
124,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,F,a clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab,0
125,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F,program administrators and nursing staff members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class,0
126,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F,the system shall allow a program administrator or nursing staff member to remove a student from a clinical lab section,0
127,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,F,the system shall allow a program administratornursing staff member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class,0
128,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,F,program administratorsnursing staff members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section,0
129,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,F,a program administratornursing staff member shall be able to add a new nursing student to the system,0
130,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,F,a staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes,0
131,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,F,the system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the program of study  sequence of classes  cohort progress through the program  and timeline of completion,0
132,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,F,the system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter clinical site  general information on labs held at that location  dates and times of all labs held there,0
133,The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,F,the system shall be able to display a printable summary for individual clinical labs  which will include but not be limited to class name  class number  lab section  listing of students enrolled  instructor  days  time  and location,0
134,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,F,the system shall be able to display a printable summary for individual nursing students  which will include but not be limited to student name  student id  admission date  classes  credits  gpa  and the cohort that the student is enrolled in,0
135,The system shall be able to display a printable summary of the system log.,F,the system shall be able to display a printable summary of the system log,0
136,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,F,the system shall contain contact information email and phone number for all people relevant to the system  including but not limited to staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators,0
137,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,F,the system will use the stored email addresses as a primary means of communicating information to affected parties,0
138,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,F,the system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes timeline and what their schedule will beshall be,0
139,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,F,the system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations,0
140,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,F,the system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter,0
141,The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).,F,the system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule lab cancelled this week due to instructor illness,0
142,The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.,F,the system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section,0
143,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,F,program administratorsnursing staff members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes,0
144,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study.,F,program administratorsnursing staff members shall have the ability to modify information relating to a program of study within the nursing department  including the program of study name  and required classes for that program of study,0
145,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,F,program administratorsnursing staff members shall have the ability to modify information relating to a clinical site  including the clinical site name  site contact person  contact information  and address,0
146,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,F,program administratorsnursing staff members shall have the ability to modify information relating to a clinical lab section  including the clinical site name  the departmentsection for the lab  the class  instructor  day and time of lab  and contact information,0
147,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,F,program administratorsnursing staff members shall have the ability to modify information relating to a nursing student  including student id  student name  phone number  email  status full time or part time  and program of study,0
148,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF,the disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications,1
149,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF,all screens created as part of the disputes application must comply with corporate standards for interface creation,1
150,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,US,the list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status,6
151,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US,100 of the cardmember and merchant services representatives shall use the disputes application regularly after a 2day training course,6
152,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US,100 of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course,6
153,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US,100 of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course,6
154,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE,the maximum wait time for a user navigating from one screen to another within the disputes application shall be no more than 5 seconds,4
155,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE,the disputes application shall support 350 concurrent users without any degradation of performance in the application,4
156,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday ' Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,the disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows  monday  saturday 300am to 400am est sunday 100amd to 500am est,2
157,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,the disputes application shall interface with the statement database the statement database provides the transaction details to the disputes system all transaction details must be obtained from the statement database,2
158,The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,O,the disputes application shall interface with the cardmember information database  the cardmember information database provides detailed information with regard to a cardmember  all cardmember detail information must be obtained from the cardmember information database,2
159,The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O,the disputes applications shall interface with the merchant information database  the merchant information database provides detailed information with regard to the merchant all merchant detail information shall be obtained from the merchant information database,2
160,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O,the disputes application shall interface with the letters application  this will allow the disputes application to request letters as part of the dispute initiation and dispute follow up process all letter requests must be sent to the print letter utility application,2
161,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O,the disputes application shall interface with the cardmember posting and billing system  this will allow the disputes application to request adjustments to cardmember and merchants accounts all adjustment requests must be sent to the cardmember posting and billing system,2
162,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE,the disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests,5
163,Only users with Update access must be able to initiate dispute requests.,SE,only users with update access must be able to initiate dispute requests,5
164,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE,the disputes application shall ensure that only authorized users are allowed to logon to the application,5
165,All authorized users  once authenticated must be able to logon to the Disputes System,SE,all authorized users  once authenticated must be able to logon to the disputes system,5
166,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level.  The report will be reviewed for auditing purposes.,SE,the disputes system shall generate a user report that details any new users that have been added and any changes to an existing users access level  the report will be reviewed for auditing purposes,5
167,All additions of new users and modifications to user's access shall be recorded on the User Report.,SE,all additions of new users and modifications to users access shall be recorded on the user report,5
168,If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE,if a user account is revoked  it can only be reinstantiated by the system administrator,5
169,Only the System Administrator shall be able to reset a revoked user logon account,SE,only the system administrator shall be able to reset a revoked user logon account,5
170,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SE,the disputes application shall manipulate and view business data users will not have direct access to data files or databases,5
171,All updates to data files or database must be initiated from the Disputes System.,SE,all updates to data files or database must be initiated from the disputes system,5
172,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,Other,the disputes application must conform to the legal requirements as specified by the merchant operating regulations,3
173,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,Other,all business rules specified in the disputes system shall be in compliance with the merchant operating regulations,3
174,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,Other,the disputes application must conform to the legal requirements as specified by regulation e and regulation z that govern credit card disputes processing,3
175,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,Other,all business rules specified in the disputes system shall be in compliance to the guidelines of regulation e and regulation z,3
176,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Other,the disputes application must maintain a detailed history of every action that a user takes on a dispute case  this ensures a complete audit trail if questions arise later on with regard to a particular dispute case,3
177,All actions that modify an existing dispute case must be recorded in the case history.,Other,all actions that modify an existing dispute case must be recorded in the case history,3
178,The Disputes System must be accessible by both internal and external users.,F,the disputes system must be accessible by both internal and external users,0
179,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,F,the disputes system must prevent users from accessing any dispute cases that do not belong to their cardholder base,0
180,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,the disputes system will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,0
181,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,F,the disputes system must provide different levels of access with regard to disputes case initiation and followup actions,0
182,The Disputes System shall provide view access capability for authorized users of the application.,F,the disputes system shall provide view access capability for authorized users of the application,0
183,The Disputes System shall provide update access capability for authorized users of the application.,F,the disputes system shall provide update access capability for authorized users of the application,0
184,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,the disputes system must allow the users to select disputable transactions based on the age of the transaction from a user interface and initiate a dispute ticket retrieval request or chargeback notification on the selected transaction,0
185,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,F,the disputes system must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant,0
186,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,the disputes system will provide the user the ability to create or initiate a ticket retrieval request   as part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request  the ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,0
187,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,F,the disputes system must allow the user to create three unique types of ticket retrieval requests  the three types of ticket retrieval requests are 1 request for original receipt 2 request for a copy of the receipt or 3 request for a portfolio a portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt,0
188,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,F,the disputes system must prevent external users from requesting original receipts requests for original receipts are restricted to internal users,0
